customerID,gender,SeniorCitizen,Age,Partner,Tenure_Months,Contract,InternetService,MonthlyCharges,TotalCharges,PaymentMethod,SignupDate,Churn
CUST-1014,Female,0,52.0,No,25,Two year,DSL,51.55,1293.57,electronic check ,2023-04-18 00:00:00,No
CUST-1212,Male,1,56.0,,7,Month-to-month,Fiber optic,67.99,540.16,Electronic check,2019-10-14 00:00:00,Yes
CUST-1258,male,0,37.0,,0,Two year,Fiber optic,103.73,58.17,Credit card,2022-05-06 00:00:00,Yes
CUST-1161,male,1,41.0,,26,One year,DSL,52.82,1393.51,Credit card,2021-01-29 00:00:00,No
CUST-1155,male,1,48.0,,25,Month-to-month,fiber optic,58.15,1484.16,Mailed check,2020-08-08 00:00:00,Yes
CUST-1002,Female,1,45.0,Yes,1,Month-to-month,Fiber optic,67.95,44.78,Bank transfer,2019-07-29 00:00:00,No
CUST-1254,Female,1,34.0,Yes,45,month-to-month,fiber optic,112.03,5075.26,electronic check ,2020-02-09 00:00:00,No
CUST-1055,,0,49.0,Yes,47,Month-to-month,Fiber optic,38.23,1820.93,electronic check ,2019-11-09 00:00:00,No
CUST-1171, Male,0,52.0,,67,,,95.12,6406.66,electronic check ,2019-03-26 00:00:00,No
CUST-1277,Female,0,48.0,,2,Two year,DSL,107.14,191.27,Mailed check,2021-06-20 00:00:00,Yes
CUST-1132, Male,1,50.0,,51,,No,83.94,4253.58,Electronic check,2021-08-18 00:00:00,No
CUST-1170,Male,1,54.0,,42,,No,41.59,1752.25,Bank transfer,2022-06-12 00:00:00,No
CUST-1114,male,1,46.0,,22,,No,69.83,1513.76,electronic check ,2021-05-31 00:00:00,No
CUST-1102,,1,18.0,,57,Month-to-month,No,93.57,5344.69,Mailed check,2021-08-23 00:00:00,Yes
CUST-1214,Male,0,44.0,No,31,month-to-month,,55.44,1740.12,Bank transfer,2022-08-10 00:00:00,Yes
,,,,,,,,,,,,
CUST-1249,male,1,32.0,Yes,70,month-to-month,No,78.45,5493.9,electronic check ,2022-02-16 00:00:00,No
CUST-1060,,1,50.0,,23,One year,fiber optic,109.07,2540.37,electronic check ,2020-07-03 00:00:00,No
CUST-1282,male,0,35.0,,27,Month-to-month,fiber optic,142.35,3874.13,Mailed check,2023-04-12 00:00:00,No
CUST-1018,,1,44.0,Yes,27,,,79.93,2174.67,Mailed check,2023-05-26 00:00:00,No
CUST-1255,,0,41.0,,12,month-to-month,DSL,67.22,864.94,electronic check ,2020-01-18 00:00:00,Yes
CUST-1070, Male,1,23.0,Yes,57,Month-to-month,DSL,15.24,830.09,Credit card,2022-05-26 00:00:00,Yes
CUST-1256,male,1,34.0,,31,One year,No,86.93,2707.02,electronic check ,2021-03-14 00:00:00,No
CUST-1104,Male,1,73.0,Yes,13,One year,DSL,75.16,932.22,electronic check ,2019-10-05 00:00:00,Yes
CUST-1173,male,1,43.0,,10,,fiber optic,40.26,396.31,Electronic check,2022-11-11 00:00:00,No
CUST-1287,Female,1,48.0,,38,One year,,482.47,18255.04,Bank transfer,2019-12-08 00:00:00,No
CUST-1139,,0,29.0,No,33,One year,,117.11,3934.18,Bank transfer,2020-09-24 00:00:00,No
CUST-1228,Male,0,32.0,,69,One year,,85.05,5910.03,Bank transfer,2020-07-01 00:00:00,Yes
CUST-1101,Female,1,43.0,,62,Month-to-month,No,43.83,2715.2,Credit card,2019-01-29 00:00:00,Yes
CUST-1022,Female,0,48.0,No,13,Month-to-month,Fiber optic,398.76,5052.89,Electronic check,2019-12-04 00:00:00,No
CUST-1242,female,0,47.0,Yes,18,,fiber optic,80.95,1438.19,electronic check ,2021-02-17 00:00:00,No
CUST-1271,female,1,42.0,No,29,month-to-month,No,39.96,1144.78,Mailed check,2022-03-05 00:00:00,No
CUST-1030,Female,1,23.0,,50,Two year,No,138.59,6884.15,Bank transfer,2023-09-29 00:00:00,No
CUST-1086, Male,1,52.0,No,22,Two year,,37.22,798.44,Bank transfer,2022-02-04 00:00:00,No
CUST-1163, Male,0,36.0,No,65,month-to-month,fiber optic,76.97,5019.73,electronic check ,2020-08-07 00:00:00,No
CUST-1194,female,1,46.0,No,1,One year,No,86.75,98.11,Electronic check,2023-04-24 00:00:00,No
CUST-1138,male,1,18.0,,17,One year,DSL,55.22,942.61,Credit card,2022-08-10 00:00:00,No
CUST-1118,,0,44.0,,4,month-to-month,No,93.83,347.16,electronic check ,2021-11-05 00:00:00,No
CUST-1177,Female,0,30.0,,16,,fiber optic,53.91,866.69,Bank transfer,2021-10-15 00:00:00,No
CUST-1294,male,0,57.0,,55,One year,fiber optic,379.33,20824.8,Mailed check,2023-02-09 00:00:00,No
CUST-1259,female,0,28.0,No,33,month-to-month,No,33.71,1184.62,Bank transfer,2023-09-21 00:00:00,Yes
CUST-1184,male,1,57.0,No,18,month-to-month,No,55.14,1061.95,Credit card,2022-04-10 00:00:00,No
CUST-1088,female,1,20.0,,18,month-to-month,Fiber optic,43.93,806.95,Electronic check,2019-09-16 00:00:00,No
CUST-1274,,0,62.0,,40,Two year,No,103.09,4158.51,Mailed check,2021-05-29 00:00:00,Yes
CUST-1236,female,0,36.0,,28,,fiber optic,79.6,2243.09,electronic check ,2020-08-27 00:00:00,No
CUST-1024, Male,0,41.0,Yes,3,One year,DSL,89.03,256.11,electronic check ,2023-10-13 00:00:00,No
CUST-1081, Male,1,33.0,Yes,7,Month-to-month,,103.87,678.03,Credit card,2022-07-04 00:00:00,No
CUST-1174,female,0,42.0,Yes,39,month-to-month,No,92.35,3522.48,Bank transfer,2023-02-12 00:00:00,Yes
CUST-1062,Female,1,47.0,No,32,Two year,No,79.02,2549.57,Bank transfer,2022-02-12 00:00:00,No
CUST-1241,female,1,46.0,No,55,One year,DSL,78.62,4424.94,Mailed check,2023-01-16 00:00:00,Yes
CUST-1078,Female,1,43.0,No,49,Two year,No,81.55,3944.23,electronic check ,2021-06-11 00:00:00,No
CUST-1099,male,1,37.0,Yes,57,One year,Fiber optic,86.3,4957.52,electronic check ,2023-11-30 00:00:00,Yes
CUST-1050, Male,0,23.0,,7,month-to-month,fiber optic,64.37,471.81,Bank transfer,2020-09-03 00:00:00,Yes
CUST-1128,Female,1,34.0,No,60,Month-to-month,DSL,45.18,2713.34,Electronic check,2020-05-13 00:00:00,No
CUST-1111,female,1,35.0,,48,Month-to-month,,99.31,4732.99,electronic check ,2020-03-29 00:00:00,No
CUST-1125,female,0,,No,42,Two year,Fiber optic,61.93,2597.29,Bank transfer,2020-08-15 00:00:00,Yes
CUST-1061,Male,1,26.0,Yes,22,One year,fiber optic,66.46,1404.97,Credit card,2020-11-19 00:00:00,No
CUST-1199,,0,56.0,Yes,24,Two year,fiber optic,49.43,1165.41,Mailed check,2019-01-14 00:00:00,Yes
CUST-1230,female,1,57.0,Yes,53,Month-to-month,DSL,56.71,3020.09,Electronic check,2021-10-20 00:00:00,Yes
CUST-1069,Male,1,39.0,No,46,month-to-month,DSL,45.86,2130.68,Credit card,2021-10-04 00:00:00,Yes
CUST-1036,,0,31.0,No,55,One year,DSL,69.22,3846.65,Bank transfer,2020-12-20 00:00:00,No
CUST-1040,female,1,26.0,No,66,,,47.94,3137.23,Credit card,2022-09-23 00:00:00,No
CUST-1148,Female,1,41.0,Yes,2,month-to-month,DSL,34.72,,Mailed check,2023-09-07 00:00:00,No
CUST-1011, Male,1,22.0,No,62,Month-to-month,DSL,60.59,3816.62,Mailed check,2021-07-18 00:00:00,No
CUST-1240,Male,0,41.0,Yes,61,Two year,fiber optic,94.71,5837.59,Bank transfer,2020-09-08 00:00:00,No
CUST-1246,Male,1,58.0,Yes,30,Two year,No,44.58,1296.86,Mailed check,2023-01-04 00:00:00,No
CUST-1182,Male,0,32.0,No,50,month-to-month,fiber optic,68.73,3446.4,Mailed check,2022-05-26 00:00:00,No
CUST-1156,male,1,65.0,No,71,Month-to-month,fiber optic,85.62,5977.11,Credit card,2021-03-02 00:00:00,No
CUST-1188,male,0,48.0,,7,month-to-month,No,45.68,355.84,Bank transfer,2022-06-03 00:00:00,No
CUST-1098,,0,31.0,,44,,DSL,18.11,795.91,Credit card,2019-03-10 00:00:00,No
CUST-1176,male,1,53.0,No,37,One year,Fiber optic,20.2,810.91,Mailed check,2023-07-25 00:00:00,Yes
CUST-1046,female,1,60.0,No,2,Month-to-month,,43.32,72.37,electronic check ,2021-05-23 00:00:00,No
CUST-1207,Male,0,37.0,No,21,Month-to-month,DSL,43.54,949.36,Mailed check,2023-04-24 00:00:00,No
CUST-1145, Male,0,52.0,Yes,7,Month-to-month,No,96.05,668.06,electronic check ,2019-10-29 00:00:00,No
CUST-1129,female,1,35.0,Yes,4,month-to-month,No,29.15,107.02,Electronic check,2021-11-11 00:00:00,No
CUST-1213,,1,51.0,,69,Two year,No,98.87,6873.46,Mailed check,2022-09-14 00:00:00,Yes
CUST-1123, Male,0,69.0,No,29,Month-to-month,fiber optic,89.54,2613.2,Credit card,2022-05-28 00:00:00,Yes
CUST-1291,Female,0,37.0,Yes,40,Two year,,78.59,3125.07,Credit card,2020-04-04 00:00:00,No
CUST-1293,female,0,57.0,No,27,,No,85.18,2237.57,electronic check ,2021-07-24 00:00:00,No
CUST-1015,Female,1,47.0,,40,month-to-month,fiber optic,43.91,1730.73,electronic check ,2023-03-27 00:00:00,No
CUST-1007,Male,1,68.0,Yes,17,Month-to-month,Fiber optic,49.99,897.2,electronic check ,2023-11-30 00:00:00,Yes
CUST-1267,,0,41.0,No,17,,DSL,41.57,787.63,Mailed check,2022-12-07 00:00:00,No
CUST-1141,male,0,53.0,Yes,58,,Fiber optic,30.04,1770.47,electronic check ,2023-07-15 00:00:00,Yes
CUST-1206,female,1,45.0,,53,Two year,Fiber optic,75.81,4122.0,Electronic check,2021-05-17 00:00:00,No
CUST-1164,Female,0,56.0,,30,month-to-month,fiber optic,52.25,1528.53,Bank transfer,2022-09-29 00:00:00,Yes
CUST-1281,Male,0,40.0,Yes,17,month-to-month,Fiber optic,32.22,607.66,electronic check ,2019-05-26 00:00:00,Yes
CUST-1089,Male,1,40.0,No,51,,DSL,112.81,5806.57,Credit card,2023-11-19 00:00:00,No
CUST-1243,female,0,49.0,,58,Two year,Fiber optic,75.14,4393.87,Mailed check,2021-03-26 00:00:00,No
CUST-1097,,1,61.0,No,30,Month-to-month,Fiber optic,349.74,10474.62,Bank transfer,2020-03-24 00:00:00,No
CUST-1245, Male,0,33.0,,59,,DSL,60.82,3595.72,Credit card,2022-12-21 00:00:00,No
CUST-1008,female,1,46.0,Yes,59,One year,Fiber optic,49.11,2896.82,electronic check ,2020-06-22 00:00:00,No
CUST-1028,Female,1,37.0,No,61,Two year,,83.77,5097.14,electronic check ,2023-07-11 00:00:00,No
CUST-1027,Male,0,46.0,,27,Two year,DSL,54.63,1405.07,Mailed check,2021-11-02 00:00:00,No
CUST-1122,female,1,54.0,No,51,One year,No,61.57,3038.61,electronic check ,2022-05-06 00:00:00,No
CUST-1052,female,0,23.0,,29,month-to-month,DSL,83.01,2403.43,electronic check ,2022-03-01 00:00:00,No
CUST-1126,female,0,26.0,,55,Month-to-month,Fiber optic,77.19,4295.31,Bank transfer,2019-05-28 00:00:00,No
CUST-1270,,0,63.0,No,39,Two year,No,86.93,3346.45,electronic check ,2021-03-25 00:00:00,No
CUST-1058,male,0,38.0,,31,One year,DSL,53.12,1624.39,Credit card,2022-09-16 00:00:00,Yes
CUST-1193,Male,0,37.0,,6,One year,fiber optic,99.08,632.98,Mailed check,2019-01-11 00:00:00,No
CUST-1154,female,0,33.0,Yes,29,month-to-month,fiber optic,79.71,2289.47,Mailed check,2019-03-31 00:00:00,No
CUST-1265, Male,1,21.0,,62,One year,fiber optic,31.84,2031.81,Mailed check,2023-05-27 00:00:00,No
CUST-1031,Male,0,30.0,Yes,58,month-to-month,No,70.37,3980.34,Credit card,2022-02-03 00:00:00,No
CUST-1001, Male,0,46.0,,23,One year,,52.93,1225.6,Credit card,2022-04-21 00:00:00,No
CUST-1283,Male,0,27.0,Yes,53,Month-to-month,DSL,92.28,4885.3,Credit card,2021-11-03 00:00:00,Yes
CUST-1013, Male,0,79.0,No,61,,DSL,39.77,2346.81,Bank transfer,2023-12-05 00:00:00,No
CUST-1009,female,1,27.0,Yes,46,month-to-month,,55.34,2487.7,Electronic check,2023-10-30 00:00:00,No
CUST-1284,female,1,55.0,,19,,,86.83,1718.99,Bank transfer,2019-06-21 00:00:00,No
CUST-1095,male,1,45.0,No,36,One year,No,76.14,2667.95,Bank transfer,2020-02-12 00:00:00,Yes
CUST-1034,Female,0,32.0,Yes,0,,fiber optic,65.1,,Bank transfer,2023-05-22 00:00:00,No
CUST-1096,female,1,46.0,,44,month-to-month,No,60.32,,Credit card,2020-07-16 00:00:00,Yes
CUST-1297,male,1,20.0,Yes,36,,,77.6,2685.91,Mailed check,2022-07-29 00:00:00,No
CUST-1217,male,0,39.0,No,58,One year,DSL,64.01,3746.66,Mailed check,2019-04-16 00:00:00,No
CUST-1266, Male,1,21.0,,63,One year,,114.13,7176.35,Bank transfer,2020-08-15 00:00:00,No
CUST-1231,Male,0,76.0,,56,Two year,,49.42,2739.75,Electronic check,2019-06-02 00:00:00,No
CUST-1289, Male,1,50.0,,25,Month-to-month,Fiber optic,77.35,1946.78,Bank transfer,2023-05-03 00:00:00,No
CUST-1045,Female,0,49.0,,31,Month-to-month,,29.0,958.54,electronic check ,2020-05-25 00:00:00,No
CUST-1210,female,0,33.0,No,38,,Fiber optic,110.31,4241.07,Electronic check,2019-03-07 00:00:00,No
CUST-1032,Male,0,28.0,No,57,,,100.1,5609.76,Credit card,2019-09-19 00:00:00,Yes
CUST-1077, Male,1,,Yes,1,month-to-month,,66.75,47.48,Electronic check,2023-04-16 00:00:00,No
CUST-1225,Male,0,32.0,No,4,,Fiber optic,18.47,58.89,Mailed check,2019-05-20 00:00:00,Yes
CUST-1133, Male,0,24.0,Yes,13,Two year,No,27.12,420.9,Electronic check,2019-04-27 00:00:00,No
CUST-1144,Female,0,67.0,Yes,61,,No,63.14,3856.51,Credit card,2023-11-26 00:00:00,No
CUST-1063,,1,31.0,Yes,38,One year,fiber optic,462.02,17526.56,Credit card,2021-07-06 00:00:00,Yes
CUST-1082, Male,0,24.0,No,6,Month-to-month,fiber optic,44.38,284.13,electronic check ,2023-06-25 00:00:00,Yes
CUST-1226,female,1,48.0,,36,Month-to-month,,83.6,3007.87,Credit card,2019-02-02 00:00:00,Yes
CUST-1220,Female,1,27.0,No,54,One year,fiber optic,96.95,5307.51,Bank transfer,2020-09-23 00:00:00,No
CUST-1227,Male,1,45.0,No,48,,DSL,491.28,23567.68,Credit card,2023-07-10 00:00:00,No
CUST-1041,male,1,57.0,Yes,70,One year,No,78.41,5442.97,Credit card,2023-05-29 00:00:00,No
CUST-1168,male,0,27.0,,37,month-to-month,,52.18,1910.31,Mailed check,2021-06-05 00:00:00,No
CUST-1109,Female,0,47.0,Yes,28,One year,Fiber optic,61.93,1766.48,Mailed check,2019-08-14 00:00:00,No
CUST-1172,,1,33.0,,50,Month-to-month,fiber optic,60.41,3029.69,Electronic check,2021-10-16 00:00:00,Yes
CUST-1185,male,0,18.0,,37,Month-to-month,fiber optic,56.09,2087.24,electronic check ,2023-05-06 00:00:00,No
CUST-1121,Female,0,42.0,No,49,Two year,DSL,21.73,1136.99,Electronic check,2019-07-07 00:00:00,No
CUST-1051,,0,55.0,No,32,month-to-month,fiber optic,80.86,2740.57,Credit card,2020-11-19 00:00:00,No
CUST-1056, Male,0,38.0,No,36,month-to-month,No,82.85,2976.39,electronic check ,2023-03-12 00:00:00,No
CUST-1237,Female,1,46.0,,39,Month-to-month,Fiber optic,68.13,2668.55,Bank transfer,2021-01-08 00:00:00,Yes
CUST-1158,male,0,69.0,,16,One year,No,25.51,396.2,electronic check ,2023-01-09 00:00:00,No
CUST-1085,Female,0,24.0,No,23,,No,69.51,1652.28,electronic check ,2020-07-01 00:00:00,No
CUST-1120, Male,0,28.0,,37,,No,82.15,,Bank transfer,2022-12-10 00:00:00,No
CUST-1290,Male,0,34.0,Yes,1,,DSL,48.21,64.4,Electronic check,2020-05-15 00:00:00,No
CUST-1292,male,1,52.0,,1,month-to-month,No,16.43,49.82,Electronic check,2020-01-03 00:00:00,No
CUST-1179,Male,0,41.0,No,32,month-to-month,No,92.01,2852.07,Bank transfer,2019-04-03 00:00:00,Yes
CUST-1223, Male,0,55.0,,41,Two year,No,54.06,2157.14,Credit card,2023-01-21 00:00:00,No
CUST-1202,female,0,67.0,,26,One year,No,64.48,1757.51,electronic check ,2021-08-22 00:00:00,No
CUST-1087,male,0,45.0,Yes,16,month-to-month,,56.85,1072.3,Credit card,2019-03-31 00:00:00,No
CUST-1165,male,1,18.0,,51,Month-to-month,Fiber optic,97.17,4933.44,electronic check ,2020-04-04 00:00:00,Yes
,,,,,,,,,,,,
CUST-1105,,1,63.0,,56,Two year,Fiber optic,61.42,3409.49,Electronic check,2023-09-04 00:00:00,No
CUST-1234,,0,53.0,No,2,One year,DSL,91.21,154.81,Mailed check,2023-09-14 00:00:00,No
CUST-1049,,0,24.0,No,53,month-to-month,No,68.77,3644.02,Credit card,2019-05-08 00:00:00,No
CUST-1253,male,0,31.0,Yes,51,Month-to-month,Fiber optic,104.14,5307.85,electronic check ,2019-11-24 00:00:00,Yes
CUST-1005,female,1,18.0,No,46,Month-to-month,Fiber optic,28.09,1366.49,Electronic check,2022-06-01 00:00:00,Yes
CUST-1017, Male,0,,,34,,DSL,76.9,2679.78,Electronic check,2023-10-27 00:00:00,No
CUST-1238,female,1,28.0,Yes,37,Month-to-month,Fiber optic,43.66,1659.63,Credit card,2021-07-08 00:00:00,No
CUST-1116,male,1,51.0,Yes,31,Month-to-month,fiber optic,36.88,1143.2,Electronic check,2019-07-10 00:00:00,Yes
CUST-1232, Male,0,33.0,No,4,Two year,DSL,94.73,316.46,electronic check ,2019-10-23 00:00:00,No
CUST-1106,male,0,37.0,Yes,35,month-to-month,fiber optic,46.56,1523.41,Mailed check,2023-10-18 00:00:00,No
CUST-1187,female,1,31.0,,33,month-to-month,DSL,55.95,1842.87,electronic check ,2020-02-29 00:00:00,No
CUST-1162, Male,1,26.0,,54,Month-to-month,No,44.57,2389.17,Electronic check,2019-02-23 00:00:00,No
CUST-1134,Male,1,65.0,,13,Two year,DSL,58.77,807.35,electronic check ,2022-08-27 00:00:00,Yes
CUST-1239,Male,0,28.0,Yes,17,,,52.06,896.21,Bank transfer,2023-11-04 00:00:00,No
CUST-1190,,1,49.0,,7,,,38.67,258.67,Credit card,2023-08-04 00:00:00,No
CUST-1064,female,0,49.0,,44,Month-to-month,No,161.32,7070.28,electronic check ,2020-12-05 00:00:00,Yes
CUST-1026,female,1,39.0,Yes,27,Month-to-month,No,54.33,1512.68,Credit card,2019-09-26 00:00:00,No
CUST-1208,female,1,33.0,No,61,month-to-month,fiber optic,68.05,4127.04,electronic check ,2019-09-30 00:00:00,Yes
CUST-1169, Male,0,21.0,Yes,45,Month-to-month,No,84.05,3792.88,Mailed check,2020-12-09 00:00:00,No
CUST-1180,male,1,27.0,,48,,fiber optic,77.92,3795.53,Bank transfer,2023-08-18 00:00:00,No
CUST-1100,male,0,49.0,No,2,,No,83.33,191.29,Bank transfer,2023-07-06 00:00:00,No
CUST-1197,Female,1,32.0,Yes,8,,No,21.16,142.03,Credit card,2022-08-20 00:00:00,No
CUST-1135,Female,0,48.0,No,17,,DSL,103.09,1629.69,Mailed check,2019-03-22 00:00:00,No
CUST-1288,Male,0,49.0,No,39,Two year,No,33.65,1287.87,Bank transfer,2022-12-29 00:00:00,No
CUST-1264,Male,1,22.0,Yes,8,One year,fiber optic,80.15,639.19,Electronic check,2023-05-08 00:00:00,No
CUST-1198,male,1,55.0,Yes,13,One year,Fiber optic,64.23,878.48,Credit card,2023-08-21 00:00:00,Yes
CUST-1117, Male,0,36.0,,53,Two year,,67.87,3674.67,Electronic check,2021-04-21 00:00:00,No
CUST-1166,Female,1,,,44,One year,,51.18,2295.4,electronic check ,2019-09-23 00:00:00,No
CUST-1262,Female,1,36.0,No,63,One year,,65.58,4157.23,electronic check ,2019-08-22 00:00:00,No
CUST-1136, Male,0,30.0,No,27,month-to-month,fiber optic,42.39,1112.2,Bank transfer,2022-10-22 00:00:00,No
CUST-1029, Male,1,36.0,Yes,61,Month-to-month,Fiber optic,43.24,2612.31,Electronic check,2023-03-01 00:00:00,No
CUST-1079,female,1,44.0,No,60,month-to-month,DSL,82.17,4933.75,Bank transfer,2021-04-23 00:00:00,No
CUST-1204,Female,0,33.0,,53,,fiber optic,65.65,3462.05,Mailed check,2023-01-08 00:00:00,No
CUST-1140,female,0,18.0,Yes,5,One year,Fiber optic,91.69,469.75,Electronic check,2021-11-05 00:00:00,No
CUST-1157,female,1,27.0,,50,One year,No,82.7,4245.42,Credit card,2019-06-11 00:00:00,No
CUST-1131,,0,29.0,,55,,fiber optic,62.19,3409.4,electronic check ,2023-04-06 00:00:00,No
CUST-1039, Male,0,54.0,Yes,69,month-to-month,No,84.74,5868.63,Electronic check,2023-01-14 00:00:00,Yes
CUST-1248, Male,0,42.0,Yes,59,Two year,No,67.25,3948.2,electronic check ,2019-04-01 00:00:00,No
CUST-1205,female,0,44.0,,35,Month-to-month,fiber optic,59.37,2138.33,Electronic check,2022-02-18 00:00:00,No
CUST-1215,female,1,44.0,No,22,,Fiber optic,33.73,872.36,Credit card,2020-05-08 00:00:00,No
CUST-1222,Female,0,,,41,month-to-month,,72.08,2944.37,Credit card,2020-08-27 00:00:00,Yes
CUST-1054,female,1,60.0,No,63,month-to-month,DSL,31.41,1960.17,Electronic check,2020-12-17 00:00:00,Yes
CUST-1296, Male,0,20.0,Yes,42,Two year,Fiber optic,54.3,2215.77,Electronic check,2019-03-31 00:00:00,Yes
CUST-1200,male,1,23.0,,36,One year,,67.52,,Bank transfer,2022-11-19 00:00:00,No
CUST-1043,Female,1,54.0,Yes,49,,Fiber optic,85.34,,Mailed check,2021-08-31 00:00:00,No
CUST-1279,male,1,47.0,Yes,54,,Fiber optic,106.79,5756.46,Electronic check,2020-05-23 00:00:00,No
CUST-1048,,1,46.0,No,17,Two year,No,47.14,810.12,Electronic check,2019-10-11 00:00:00,No
CUST-1035,,0,36.0,Yes,43,One year,fiber optic,114.13,4810.59,Credit card,2020-12-17 00:00:00,Yes
CUST-1059,Male,1,53.0,Yes,17,,fiber optic,82.75,1411.37,Credit card,2022-12-19 00:00:00,No
CUST-1143,female,0,34.0,,54,Two year,fiber optic,84.94,4594.02,Bank transfer,2023-05-13 00:00:00,No
CUST-1053,Female,1,46.0,No,53,Month-to-month,fiber optic,61.48,3302.05,Credit card,2020-10-31 00:00:00,No
CUST-1020,,1,58.0,Yes,43,Month-to-month,Fiber optic,95.84,4162.86,electronic check ,2021-07-07 00:00:00,Yes
CUST-1124, Male,0,41.0,Yes,68,Two year,No,84.91,5773.57,electronic check ,2021-09-23 00:00:00,No
CUST-1142,male,0,32.0,,61,month-to-month,No,52.82,3180.59,Credit card,2020-04-24 00:00:00,Yes
CUST-1110,male,0,52.0,Yes,9,Month-to-month,Fiber optic,68.78,677.99,Mailed check,2023-02-28 00:00:00,Yes
CUST-1244,,1,49.0,Yes,41,Two year,No,86.44,3559.93,Credit card,2021-01-17 00:00:00,No
CUST-1076,,1,85.0,,3,month-to-month,,67.1,229.69,Electronic check,2022-05-09 00:00:00,No
CUST-1278,Female,1,66.0,No,24,One year,Fiber optic,91.88,2189.1,Electronic check,2019-10-14 00:00:00,No
CUST-1269,Male,0,34.0,,40,month-to-month,No,64.91,2538.48,Bank transfer,2021-07-20 00:00:00,Yes
CUST-1107,,1,34.0,No,49,Two year,Fiber optic,45.04,2140.07,Credit card,2019-07-07 00:00:00,No
CUST-1093,female,0,65.0,Yes,17,One year,,67.25,1147.39,electronic check ,2022-10-31 00:00:00,No
CUST-1012,Female,0,51.0,No,47,Two year,,365.31,17208.85,Mailed check,2021-02-04 00:00:00,No
CUST-1016,female,1,41.0,,0,One year,fiber optic,58.12,29.11,Mailed check,2019-05-12 00:00:00,No
